i2,i3,phi2_deg,phi3_deg,t_burn_s,period_k,jitter_v_m_s,mean_N1_N,mean_RK4_N,delta_ppm,R_ppm,Q_ppm,liftoff_pct,skew,N_max_N,N_min_N,A_Mg,touchdowns_per_s,stationaer_10s,arch_F_mean,arch_delta_ppm,arch_liftoff,arch_F_skew,arch_F_max,arch_F_min,arch_peak_ratio
2,5,37.89473684210526,94.73684210526315,5.0,1,0.0002950090754882395,6.376520924984305,6.376506752400392,3.2815783430398318,1.1305207404574336,2.222627446649906,76.066,1.7111183148576794,39.826832553907465,0.0,5.24587666492707,10.0,ja,6.376677,27.8,76.0635,1.711082,39.827413,0.000000,5.245968
2,6,37.89473684210526,113.68421052631578,5.0,1,0.0003861326233655371,6.376643978569561,6.376500620534683,22.579560818639507,0.21876772801244634,22.48224494279772,75.8595,1.70016526810657,39.54976425808492,0.0,5.202425195339907,10.0,ja,6.376461,-6.1,75.8575,1.700157,39.548728,0.000000,5.202263
2,7,37.89473684210526,132.6315789473684,5.0,1,1.1073364447611311e-12,6.376450454285732,6.376499709585669,-7.770048501383596,5.54545649405022e-11,-7.724504028444842,24.55,0.9613628577173888,21.309444806355348,0.0,2.341871686090386,20.0,ja,6.376450,-7.8,24.5500,0.961363,21.309434,0.000000,2.341870
2,8,37.89473684210526,151.57894736842104,5.0,1,4.131827290899948e-09,6.376208362648822,6.376499681927144,-45.73627400278584,-7.21395986327027e-08,-45.68639195825642,28.000000000000004,0.9017052355201316,20.846492939869595,0.0,2.269268868481078,20.0,ja,6.376208,-45.8,28.0000,0.901704,20.846489,0.000000,2.269268
2,9,37.89473684210526,170.52631578947367,5.0,1,4.436870686824745e-09,6.376246903148817,6.376499405342743,-39.69212752823623,-7.365342337614228e-09,-39.5988699013786,24.4,0.7358852739714818,19.20035539344203,0.0,2.0111119569422145,10.0,ja,6.376247,-39.7,24.4000,0.735889,19.200400,0.000000,2.011119
2,10,37.89473684210526,189.4736842105263,5.0,2,7.390041211857018e-05,6.376441765780996,6.376428408706062,-9.13263059753677,-11.134107484632146,2.0947345619236404,27.6485,0.37327453168691616,17.842726528199073,0.0,1.7982006630908918,10.0,grenzwertig,6.376432,-10.7,27.6490,0.373292,17.845460,0.000000,1.798629
2,11,37.89473684210526,208.42105263157893,5.0,2,2.09838006345886e-13,6.376255374716178,6.376499681927738,-38.36356681930471,-1.697588722668435e-10,-38.31368486795985,24.825,0.450233443988518,18.62390512337719,0.0,1.920709656296901,10.0,ja,6.376255,-38.4,24.8250,0.450225,18.623865,0.000000,1.920703
2,12,37.89473684210526,227.36842105263156,5.0,2,3.792799407875691e-14,6.376253503947726,6.3764997095857705,-38.65695166228471,-1.697588722668435e-10,-38.61140720522494,22.575,0.639430284909541,19.367228621027863,0.0,2.0372819918494254,5.0,ja,6.376253,-38.7,22.5750,0.639423,19.367103,0.000000,2.037262
2,13,37.89473684210526,246.3157894736842,40.0,-1,0.167372498192332,6.382290692221964,6.3821713412604,908.130200260878,889.5343367271785,18.71731538688265,37.7025,0.7226630513648845,23.75697755130296,0.0,2.7257080767353496,10.0,nein,6.376000,-78.4,35.8050,0.664177,24.373674,0.000000,2.822422
2,14,37.89473684210526,265.2631578947368,8.200000000000001,3,0.00029800765583604116,6.372702907198826,6.373065313593522,-595.4822867051264,-538.5760278375742,-56.83468904517133,34.353,0.9347721133187872,25.125142629578747,0.0,2.940271721097584,6.6,nein,6.371003,-862.1,35.4195,0.937020,25.325827,0.000000,2.971744
2,15,37.89473684210526,284.2105263157895,5.0,1,0.00041329230517012094,6.376901175445789,6.376500059910279,62.91467823849625,0.0701213836333447,62.90528275858914,75.8655,1.7001606240313356,39.54652523011989,0.0,5.201917232042638,10.0,ja,6.376609,17.1,75.8675,1.700181,39.549719,0.000000,5.202418
2,16,37.89473684210526,303.1578947368421,5.0,1,0.00036986579402747966,6.376468357746185,6.37649730516843,-4.962323189248677,-0.3749060334972998,-4.539703951230003,76.066,1.7111243866748334,39.82641306027018,0.0,5.245810877482972,10.0,ja,6.376629,20.2,76.0650,1.711102,39.825212,0.000000,5.245623
2,17,37.89473684210526,322.1052631578947,5.0,2,0.0003547150494655482,6.376433086817778,6.376432870578144,-10.493716336960347,-10.371475921077788,0.033911963333913664,76.217,1.7196328628023316,40.095531675576474,0.0,5.288015631706496,10.0,grenzwertig,6.376236,-41.4,76.2165,1.719653,40.067908,0.000000,5.283683
2,18,37.89473684210526,341.05263157894734,5.0,2,0.00034129161882040515,6.3762534039823455,6.37651110256021,-38.67262881759907,1.7975567394800989,-40.41379720291631,76.069,1.7145058003431146,40.796961635703305,0.0,5.398017977841025,10.0,ja,6.376538,6.0,76.0645,1.714456,40.792782,0.000000,5.397362
3,0,56.84210526315789,0.0,5.5,2,0.0002489373498886782,6.376272905183488,6.3765066087007725,-35.61433647182914,1.0060520755596511,-36.6507515540083,76.14649999999999,1.7172992466203223,40.624824936660985,0.0,5.371022494575548,10.0,ja,6.376417,-13.0,76.1445,1.717303,40.629023,0.000000,5.371681
3,1,56.84210526315789,18.94736842105263,5.0,2,0.0002035491578997739,6.376249358203863,6.376512899097032,-39.307111446454606,1.9708609781915842,-41.33002323684017,76.0685,1.7144760177858622,40.79534835944833,0.0,5.3977649744292835,10.0,ja,6.376391,-17.1,76.0670,1.714485,40.793685,0.000000,5.397504
3,2,56.84210526315789,37.89473684210526,5.0,2,0.00027985435406802095,6.376507602155095,6.376511064948692,1.1922143956524154,1.7829831428375642,-0.5430555315225436,76.0685,1.714461973585202,40.79167027569287,0.0,5.397188155836724,10.0,ja,6.376353,-23.1,76.0695,1.714459,40.791980,0.000000,5.397237
3,3,56.84210526315789,56.84210526315789,6.5,2,0.000299728829873086,6.376595176536697,6.3764790884319344,14.9261407819852,-3.340200287946942,18.205615112181246,76.1455,1.7172563932055365,40.6322026265724,0.0,5.37217950702931,10.0,ja,6.376537,5.8,76.1460,1.717244,40.626024,0.000000,5.371211
3,4,56.84210526315789,75.78947368421052,5.0,2,0.0004062589429091046,6.37640442036459,6.376490997768533,-14.989357078449983,-1.4594958354908067,-13.577574522529794,76.19399999999999,1.7184326162820631,40.02599206277932,0.0,5.2771100231756165,10.0,ja,6.376418,-12.9,76.1965,1.718439,40.018539,0.000000,5.275941
3,5,56.84210526315789,94.73684210526315,5.0,1,0.0003733435845014732,6.376538185036034,6.376508476337667,5.988400538336193,1.2924394743548027,4.659091722147084,76.06150000000001,1.7111008168959845,39.833086812716225,0.0,5.246857494348972,10.0,ja,6.376435,-10.2,76.0665,1.711125,39.834192,0.000000,5.247031
3,6,56.84210526315789,113.68421052631578,5.0,1,0.00028886119394365417,6.376375483088923,6.3764904629707955,-19.527469784043635,-1.4826399692023453,-18.031817121066254,75.888,1.701395438655884,39.57615689146896,0.0,5.206564242369475,10.0,ja,6.376234,-41.7,75.8915,1.701433,39.583831,0.000000,5.207768
3,7,56.84210526315789,132.6315789473684,5.0,1,0.00034596992792480796,6.37658982388535,6.376506995599036,14.086706712033678,1.0341959920139825,12.98961598276771,75.631,1.6886666096793523,39.25163389193156,0.0,5.155670648777787,10.0,ja,6.376695,30.6,75.6325,1.688658,39.251651,0.000000,5.155673
3,8,56.84210526315789,151.57894736842104,5.0,1,4.017619570362285e-14,6.376730531492084,6.37650037339008,36.15329602186275,1.2457825574165754e-10,36.09473880726915,22.400000000000002,0.8662871760887614,20.084300546738575,0.0,2.1497374024525326,20.0,ja,6.376731,36.2,22.4000,0.866287,20.084312,0.000000,2.149739
3,9,56.84210526315789,170.52631578947367,5.0,1,3.5315355501053247e-10,6.3761533688794225,6.376500096805157,-54.36071835308119,7.964520423852739e-11,-54.37589990344446,28.549999999999997,0.7058166444680555,19.297784484316864,0.0,2.0263913564364247,20.0,ja,6.376153,-54.4,28.5500,0.705820,19.297814,0.000000,2.026396
3,10,56.84210526315789,189.4736842105263,5.0,1,5.705158567792523e-14,6.376246985333602,6.3765000968044205,-39.67923882985945,9.471130415220975e-11,-39.69442026475186,21.7,0.48634794679325355,17.4476914522187,0.0,1.7362489535354344,10.0,ja,6.376247,-39.7,21.7000,0.486345,17.447648,0.000000,1.736242
