phi2_deg,phi3_deg,F_mean,F_skew,liftoff,F_max,F_min,peak_ratio
284.211,246.316,6.376485,1.700176,75.8595,39.544357,0.000000,5.201577
284.211,265.263,6.376615,1.708688,76.0205,39.765235,0.000000,5.236217
284.211,284.211,6.376392,1.714808,76.1320,39.923002,0.000000,5.260959
284.211,303.158,6.335128,1.977943,71.2160,50.035452,0.000000,6.846852
284.211,322.105,6.376740,1.719617,76.2145,40.078493,0.000000,5.285343
284.211,341.053,6.376281,1.718459,76.1930,40.018610,0.000000,5.275952
303.158,0.000,6.376896,1.717195,76.1425,40.628284,0.000000,5.371565
303.158,18.947,6.382759,1.979001,71.9410,50.551719,0.000000,6.927816
303.158,37.895,6.376499,1.711108,76.0635,39.825755,0.000000,5.245708
303.158,56.842,6.376400,1.701424,75.8940,39.584138,0.000000,5.207816
303.158,75.789,6.376618,0.737684,19.0000,18.408439,0.000000,1.886919
303.158,94.737,6.376729,0.866305,22.3500,20.083316,0.000000,2.149583
303.158,113.684,6.376849,0.705849,28.5500,19.299563,0.000000,2.026670
303.158,132.632,6.376251,0.486448,21.7000,17.447321,0.000000,1.736191
303.158,151.579,6.376215,0.136399,24.9000,15.008902,0.000000,1.353784
303.158,170.526,6.376341,-0.078970,26.7380,13.874545,0.000000,1.175887
303.158,189.474,6.376335,0.162163,27.3720,16.641999,0.000000,1.609896
303.158,208.421,6.376698,0.534417,26.1355,19.462155,0.000000,2.052169
303.158,227.368,6.376331,0.700680,22.3750,21.126170,0.000000,2.313129
303.158,246.316,6.376243,1.701400,75.8880,39.577434,0.000000,5.206765
303.158,265.263,6.376668,1.711093,76.0640,39.827457,0.000000,5.245975
303.158,284.211,6.335370,1.977887,71.2165,50.033811,0.000000,6.846595
303.158,303.158,6.376360,1.717286,76.1435,40.627854,0.000000,5.371497
303.158,322.105,6.376441,1.714532,76.0690,40.799945,0.000000,5.398486
303.158,341.053,6.376309,1.714468,76.0715,40.798213,0.000000,5.398214
322.105,0.000,6.376516,1.710426,75.9500,40.964894,0.000000,5.424354
322.105,18.947,6.376431,1.714435,76.0665,40.790239,0.000000,5.396964
322.105,37.895,6.376593,1.719606,76.2115,40.088203,0.000000,5.286866
322.105,56.842,6.376617,1.711095,76.0645,39.830226,0.000000,5.246409
322.105,75.789,6.376423,1.700181,75.8600,39.549030,0.000000,5.202310
322.105,94.737,6.376277,0.961360,24.5500,21.308364,0.000000,2.341702
322.105,113.684,6.376790,0.901780,27.9500,20.846929,0.000000,2.269337
322.105,132.632,6.376752,0.735900,24.4000,19.200462,0.000000,2.011129
322.105,151.579,6.376914,0.369364,27.6860,17.509011,0.000000,1.745865
322.105,170.526,6.376744,0.450347,24.8250,18.623567,0.000000,1.920657
322.105,189.474,6.376746,0.639657,22.5750,19.369246,0.000000,2.037598
322.105,208.421,6.376218,0.675851,36.8730,24.366591,0.000000,2.821311
322.105,227.368,6.375687,1.687188,75.6320,39.314333,0.000000,5.165504
322.105,246.316,6.376745,1.700177,75.8670,39.548649,0.000000,5.202250
322.105,265.263,6.376512,1.711105,76.0645,39.823559,0.000000,5.245363
322.105,284.211,6.376502,1.719636,76.2160,40.078776,0.000000,5.285388
322.105,303.158,6.376257,1.714531,76.0660,40.798821,0.000000,5.398310
322.105,322.105,6.376351,1.710499,75.9500,40.960411,0.000000,5.423651
322.105,341.053,6.376551,1.709146,75.9085,41.012043,0.000000,5.431748
341.053,0.000,6.376197,1.706688,75.8320,41.091416,0.000000,5.444196
341.053,18.947,6.376403,1.709190,75.9080,41.007676,0.000000,5.431063
341.053,37.895,6.376644,1.714444,76.0635,40.793544,0.000000,5.397482
341.053,56.842,6.376369,1.718455,76.1965,40.020351,0.000000,5.276225
341.053,75.789,6.376685,1.708695,76.0175,39.773225,0.000000,5.237470
341.053,94.737,6.376475,1.695976,75.7630,39.438034,0.000000,5.184903
341.053,113.684,6.376335,1.011928,21.1000,21.789141,0.000000,2.417100
341.053,132.632,6.376275,0.913675,25.3500,20.539941,0.000000,2.221194
341.053,151.579,6.376459,0.672627,32.2750,21.968691,0.000000,2.445259
341.053,170.526,6.376306,0.719556,44.8635,22.173975,0.000000,2.477452
341.053,189.474,6.373321,0.597020,38.0885,23.407357,0.000000,2.670879
341.053,208.421,6.376110,1.665969,75.2385,38.679375,0.000000,5.065926
341.053,227.368,6.376514,1.682309,75.5445,39.100692,0.000000,5.131999
341.053,246.316,6.376853,0.685224,44.6000,20.320991,0.000000,2.186857
341.053,265.263,6.376474,1.708706,76.0235,39.765437,0.000000,5.236248
341.053,284.211,6.376405,1.718438,76.1940,40.021942,0.000000,5.276475
341.053,303.158,6.376522,1.714458,76.0675,40.794426,0.000000,5.397620
341.053,322.105,6.376463,1.709173,75.9095,41.012588,0.000000,5.431834
341.053,341.053,6.376378,1.706680,75.8275,41.085568,0.000000,5.443279
