phi2_deg,phi3_deg,F_mean,F_skew,liftoff,F_max,F_min,peak_ratio
120.000000,252.000000,6.376500,-0.057948,0.000000,9.458995,3.043400,0.924813
120.000000,254.000000,6.376500,-0.025475,0.000000,9.884465,2.678100,0.948509
120.000000,256.000000,6.376500,0.003161,0.000000,10.325048,2.318448,0.973016
120.000000,258.000000,6.376500,0.028188,0.000000,10.776439,1.964799,0.997334
120.000000,260.000000,6.376500,0.050143,0.000000,11.235139,1.617547,1.020947
122.000000,220.000000,6.376500,-0.308538,0.000000,11.079279,0.512366,0.801956
122.000000,222.000000,6.376500,-0.316696,0.000000,10.741218,0.983297,0.809300
122.000000,224.000000,6.376500,-0.325277,0.000000,10.398250,1.458665,0.817789
122.000000,226.000000,6.376500,-0.333737,0.000000,10.051199,1.937691,0.827857
122.000000,228.000000,6.376500,-0.340866,0.000000,9.700971,2.419557,0.840161
122.000000,230.000000,6.376500,-0.344057,0.000000,9.348679,2.903194,0.855720
122.000000,232.000000,6.376500,-0.337799,0.000000,8.995637,3.387343,0.876212
122.000000,234.000000,6.376500,-0.310978,0.000000,8.643519,3.870332,0.904576
122.000000,236.000000,6.376500,-0.244822,0.000000,8.294487,4.349819,0.946368
122.000000,238.000000,6.376500,-0.126908,0.000000,7.951467,4.822472,1.013475
122.000000,240.000000,6.376500,-0.015019,0.000000,7.729197,4.940032,0.941683
122.000000,242.000000,6.376500,-0.033056,0.000000,7.830284,4.905633,0.988386
122.000000,244.000000,6.376500,-0.126906,0.000000,7.951464,4.822476,1.013475
122.000000,246.000000,6.376500,-0.168041,0.000000,8.089555,4.534391,0.929943
122.000000,248.000000,6.376500,-0.154291,0.000000,8.329188,4.142764,0.874180
122.000000,250.000000,6.376500,-0.119204,0.000000,8.724181,3.755089,0.895579
122.000000,252.000000,6.376500,-0.080956,0.000000,9.148353,3.371829,0.922515
122.000000,254.000000,6.376500,-0.045794,0.000000,9.594888,2.993471,0.951333
122.000000,256.000000,6.376500,-0.015084,0.000000,10.057164,2.620444,0.979928
122.000000,258.000000,6.376500,0.011415,0.000000,10.529899,2.253172,1.007293
122.000000,260.000000,6.376500,0.034356,0.000000,11.009129,1.892067,1.033047
124.000000,220.000000,6.376500,-0.268922,0.000000,11.217444,0.234243,0.788138
124.000000,222.000000,6.376500,-0.273974,0.000000,10.877246,0.715447,0.795037
124.000000,224.000000,6.376500,-0.278979,0.000000,10.532454,1.201946,0.803152
124.000000,226.000000,6.376500,-0.283449,0.000000,10.183908,1.693164,0.812969
124.000000,228.000000,6.376500,-0.286463,0.000000,9.832629,2.188413,0.825229
124.000000,230.000000,6.376500,-0.286317,0.000000,9.479826,2.686916,0.841105
124.000000,232.000000,6.376500,-0.279910,0.000000,9.126959,3.187689,0.862534
124.000000,234.000000,6.376500,-0.261965,0.000000,8.775880,3.689559,0.892978
124.000000,236.000000,6.376500,-0.225321,0.000000,8.429015,4.190942,0.939126
124.000000,238.000000,6.376500,-0.168041,0.000000,8.089550,4.534382,0.929935
124.000000,240.000000,6.376500,-0.117360,0.000000,8.005169,4.552761,0.893039
124.000000,242.000000,6.376500,-0.134449,0.000000,8.078660,4.530227,0.921944
124.000000,244.000000,6.376500,-0.207735,0.000000,8.176765,4.463145,0.940894
124.000000,246.000000,6.376500,-0.244822,0.000000,8.294482,4.349825,0.946369
124.000000,248.000000,6.376500,-0.225321,0.000000,8.429010,4.190938,0.939122
124.000000,250.000000,6.376500,-0.180161,0.000000,8.577547,3.989596,0.922135
124.000000,252.000000,6.376500,-0.131605,0.000000,8.836435,3.690049,0.915682
124.000000,254.000000,6.376500,-0.087862,0.000000,9.305357,3.300955,0.952305
124.000000,256.000000,6.376500,-0.050559,0.000000,9.790039,2.916555,0.986587
124.000000,258.000000,6.376500,-0.019150,0.000000,10.284191,2.537384,1.017862
124.000000,260.000000,6.376500,0.007410,0.000000,10.783518,2.163965,1.046168
126.000000,220.000000,6.376500,-0.228537,2.400000,11.366438,0.000000,0.782551
126.000000,222.000000,6.376500,-0.231142,0.000000,11.025459,0.426268,0.781307
126.000000,224.000000,6.376500,-0.232480,0.000000,10.679223,0.921869,0.788820
126.000000,226.000000,6.376500,-0.232826,0.000000,10.329565,1.423036,0.798040
126.000000,228.000000,6.376500,-0.231444,0.000000,9.977569,1.929149,0.809711
126.000000,230.000000,6.376500,-0.227196,0.000000,9.624553,2.439644,0.825037
126.000000,232.000000,6.376500,-0.218425,0.000000,9.272102,2.953793,0.845998
126.000000,234.000000,6.376500,-0.203103,0.000000,8.922240,3.470787,0.876115
126.000000,236.000000,6.376500,-0.180160,0.000000,8.577553,3.989598,0.922138
126.000000,238.000000,6.376500,-0.154290,0.000000,8.329189,4.142759,0.874179
126.000000,240.000000,6.376500,-0.145505,0.000000,8.321096,4.169028,0.880915
126.000000,242.000000,6.376500,-0.185945,0.000000,8.358212,4.157681,0.893138
126.000000,244.000000,6.376500,-0.267601,0.000000,8.430998,4.105195,0.904545
126.000000,246.000000,6.376500,-0.320963,0.000000,8.527693,4.009481,0.908819
126.000000,248.000000,6.376500,-0.310978,0.000000,8.643519,3.870332,0.904576
126.000000,250.000000,6.376500,-0.261965,0.000000,8.775880,3.689559,0.892978
126.000000,252.000000,6.376500,-0.203103,0.000000,8.922240,3.470787,0.876115
126.000000,254.000000,6.376500,-0.148314,0.000000,9.080089,3.218877,0.856210
126.000000,256.000000,6.376500,-0.101464,0.000000,9.526098,2.939245,0.916312
126.000000,258.000000,6.376500,-0.062432,0.000000,10.041411,2.637314,0.980136
126.000000,260.000000,6.376500,-0.029971,0.000000,10.559995,2.318078,1.030818
128.000000,220.000000,6.376437,-0.183372,7.150000,11.524791,0.000000,0.807385
128.000000,222.000000,6.376500,-0.190897,0.000000,11.183909,0.119330,0.768304
128.000000,224.000000,6.376500,-0.189116,0.000000,10.836596,0.622171,0.775085
128.000000,226.000000,6.376500,-0.186050,0.000000,10.486117,1.131215,0.783488
128.000000,228.000000,6.376500,-0.181133,0.000000,10.133645,1.645925,0.794226
128.000000,230.000000,6.376500,-0.173643,0.000000,9.780610,2.165821,0.808447
128.000000,232.000000,6.376500,-0.162817,0.000000,9.428722,2.690334,0.828021
128.000000,234.000000,6.376500,-0.148314,0.000000,9.080089,3.218877,0.856210
128.000000,236.000000,6.376500,-0.131605,0.000000,8.836438,3.690046,0.915682
128.000000,238.000000,6.376500,-0.119203,0.000000,8.724187,3.755095,0.895583
128.000000,240.000000,6.376500,-0.127090,0.000000,8.672452,3.789273,0.887418
128.000000,242.000000,6.376500,-0.176990,0.000000,8.670464,3.788595,0.886417
128.000000,244.000000,6.376500,-0.267202,0.000000,8.710465,3.749596,0.888485
128.000000,246.000000,6.376500,-0.347833,0.000000,8.784029,3.670005,0.889537
128.000000,248.000000,6.376500,-0.370213,0.000000,8.880538,3.548962,0.885590
128.000000,250.000000,6.376500,-0.337800,0.000000,8.995636,3.387345,0.876213
128.000000,252.000000,6.376500,-0.279910,0.000000,9.126961,3.187697,0.862537
128.000000,254.000000,6.376500,-0.218425,0.000000,9.272094,2.953791,0.845995
128.000000,256.000000,6.376500,-0.162817,0.000000,9.428728,2.690330,0.828022
128.000000,258.000000,6.376500,-0.115466,0.000000,9.804420,2.402226,0.862527
128.000000,260.000000,6.376500,-0.075922,0.000000,10.340653,2.094294,0.925727
130.000000,220.000000,6.376596,-0.138360,9.500000,11.885974,0.000000,0.864028
130.000000,222.000000,6.376537,-0.151070,5.200000,11.624700,0.000000,0.823053
130.000000,224.000000,6.376500,-0.150171,0.000000,11.249608,0.306427,0.802809
130.000000,226.000000,6.376500,-0.144571,0.000000,10.860373,0.821562,0.807187
130.000000,228.000000,6.376500,-0.137159,0.000000,10.483900,1.342897,0.815996
130.000000,230.000000,6.376500,-0.127528,0.000000,10.128194,1.869944,0.832497
130.000000,232.000000,6.376500,-0.115466,0.000000,9.804426,2.402224,0.862529
130.000000,234.000000,6.376500,-0.101464,0.000000,9.526098,2.939245,0.916312
130.000000,236.000000,6.376500,-0.087861,0.000000,9.305358,3.300945,0.952302
130.000000,238.000000,6.376500,-0.080956,0.000000,9.148347,3.371833,0.922514
130.000000,240.000000,6.376500,-0.093315,0.000000,9.053549,3.413926,0.903623
130.000000,242.000000,6.376500,-0.141264,0.000000,9.012087,3.423474,0.892504
130.000000,244.000000,6.376500,-0.228534,0.000000,9.016825,3.397143,0.886206
130.000000,246.000000,6.376500,-0.325182,0.000000,9.060730,3.332504,0.881811
